id,  ref epoch [mjd2000],    a [m],                  e,                      i [rad],                W [rad],                w [rad],                M[rad]
000, 2.1947649637665050E+04, 7.1657396824464779E+06, 1.4872294030037296E-03, 1.7084949743764815E+00, 5.4251494477699103E+00, 5.1896466191474777E-01, 3.2208883569328890E+00
001, 2.2167216339714400E+04, 7.1194824568500286E+06, 1.6818826066925901E-02, 1.7190324556571761E+00, 4.0302319446772756E+00, 2.2497345785659948E+00, 4.8807277888575742E+00
002, 2.1971814991607400E+04, 7.1596212552715428E+06, 3.7928260515825026E-03, 1.6950996273137624E+00, 2.9287068301393302E+00, 4.4933242266297109E+00, 6.2437606565086217E+00
003, 2.2169543272808445E+04, 7.1105112426873706E+06, 6.6662989696863410E-03, 1.6942903799536431E+00, 6.2336478358175662E-01, 3.4119092650909670E+00, 4.7714199815539757E+00
004, 2.2052222441592254E+04, 7.1020000939046489E+06, 1.8296158479309513E-03, 1.7498728280660838E+00, 2.6225638296225968E+00, 2.3970723874904802E+00, 3.1329207586641292E+00
005, 2.1974981005491496E+04, 7.1734650347685460E+06, 8.5007296809300539E-03, 1.7250021365460082E+00, 4.7168822657255580E+00, 2.9873237970074014E+00, 5.4944812707940045E+00
006, 2.2148092594213187E+04, 7.0580417103809919E+06, 8.7234352836937229E-03, 1.7206738530599246E+00, 3.5746425158521933E+00, 4.9814352991997808E+00, 4.1956188833732098E+00
007, 2.2142824876524191E+04, 7.0596020528455991E+06, 2.4932447158364495E-03, 1.7069135576765333E+00, 1.4559862537354920E+00, 4.3020929502250089E+00, 5.3481532423694276E+00
008, 2.2128717858909135E+04, 7.1343239397846498E+06, 1.6271597009714870E-02, 1.7445269197014779E+00, 1.3297786145266177E-01, 5.8382098923205268E+00, 5.5621781601339935E+00
009, 2.2037559358191760E+04, 7.1472079797105445E+06, 8.0077227049872458E-03, 1.7054359870027067E+00, 3.3787314329735190E+00, 1.2760194010266370E+00, 5.2234270395895157E+00
010, 2.2187763624733412E+04, 7.1622151761647547E+06, 2.4022908192228684E-03, 1.7179524541970677E+00, 2.6044168759567419E+00, 1.8942795035536908E+00, 4.3848444989363751E+00
011, 2.2091992995606113E+04, 7.2325076497609392E+06, 1.1773575210463410E-03, 1.7066308859386896E+00, 3.0516552852502272E+00, 1.7076541122844591E+00, 3.3574832859913597E+00
012, 2.1928718422188100E+04, 7.1586430111981770E+06, 1.0040189006720379E-02, 1.7320255324625642E+00, 7.2170125435764443E-01, 2.9454391014605554E+00, 3.2835498420677034E+00
013, 2.2178426502743732E+04, 7.2364943577317204E+06, 3.3123508976602113E-03, 1.7137497162075539E+00, 1.8043660156735728E+00, 4.1480720014348309E+00, 2.2581703181417367E+00
014, 2.2134431225703171E+04, 7.1834394254642036E+06, 5.8116054059847893E-03, 1.6983761271184348E+00, 1.3049702380875483E+00, 4.9906874011610523E+00, 3.5562531992810604E+00
015, 2.2057921381551841E+04, 7.1828607044945257E+06, 7.2677718502275265E-03, 1.7253514550779128E+00, 1.2035298909060050E+00, 5.5176308702359096E+00, 4.0513937316575852E+00
016, 2.2029071784023829E+04, 7.0894689928508550E+06, 8.9326688889894128E-03, 1.7152239407832581E+00, 1.2304416110682046E+00, 2.9125176149255796E+00, 1.4008509098039548E+00
017, 2.1976563697352434E+04, 7.1720225944849178E+06, 7.5893483630202667E-03, 1.7123965415036928E+00, 4.1231617147467006E+00, 2.7235734264056872E+00, 1.1697634274344053E+00
018, 2.1975694539661748E+04, 7.1160540084790485E+06, 8.9459158777377718E-03, 1.7201869268629908E+00, 1.8279761920424498E+00, 9.1080302919982903E-01, 3.2999093640193995E+00
019, 2.1931586760054113E+04, 7.1303163416429311E+06, 1.1013165668174162E-02, 1.7213767664138027E+00, 2.4191384654330679E+00, 2.1026039581904379E+00, 1.0309483985080592E+00
020, 2.1956811664258676E+04, 7.0123578015429014E+06, 3.7306380068279953E-03, 1.7145647888784965E+00, 4.7679056701808413E+00, 2.2242109725930712E+00, 1.4407588641131199E+00
021, 2.2075496256256381E+04, 7.0595214196055979E+06, 5.3035724008734580E-03, 1.7212739396318075E+00, 3.2737188088473581E+00, 3.3286802852617283E+00, 3.5355657675244623E+00
022, 2.2069343848537206E+04, 7.0625550915621240E+06, 4.3442870408157983E-03, 1.7274807156156051E+00, 5.7747057927675343E+00, 5.5322087355228531E+00, 5.9103830148672429E+00
023, 2.1948744829845527E+04, 7.1573978226773487E+06, 1.5212151785574607E-02, 1.7216539017764789E+00, 5.6363586292055992E+00, 2.6108330779745432E+00, 2.8271977566834545E+00
024, 2.2029251106989806E+04, 7.1555331719438899E+06, 1.3321444405024063E-02, 1.7174360733542935E+00, 4.0525068916629250E+00, 7.2403243072993662E-01, 5.5759592098961139E+00
025, 2.2130244426204234E+04, 7.1464835814257395E+06, 8.8690120247721140E-03, 1.7159961448710592E+00, 3.1149672619883688E+00, 4.9101235612376826E+00, 1.9099320863932947E+00
026, 2.2061290194591929E+04, 7.1039263464457355E+06, 5.8569091102657986E-03, 1.6951486894980508E+00, 3.4127281819364517E+00, 3.5456193218613050E+00, 5.6164298976873681E-02
027, 2.2031785631728311E+04, 7.1790690163070457E+06, 1.2466361831497469E-02, 1.7272417777180353E+00, 6.0033713676831582E+00, 4.2489596845890985E+00, 3.1308889128759659E-01
028, 2.2106503602448225E+04, 7.1548926144156400E+06, 8.5901282030945436E-03, 1.7120961575913876E+00, 2.4572206030974217E+00, 4.3217101229759586E-01, 4.3437959455053639E+00
029, 2.1979331806257043E+04, 7.2122805333583979E+06, 5.3956273119150225E-03, 1.7242717175613382E+00, 5.0395440741529400E+00, 5.1225128189834539E+00, 1.2919866064654601E-02
030, 2.2171949104583124E+04, 7.0431049324577386E+06, 6.4494782640898366E-03, 1.7131987270766398E+00, 7.8965530147945362E-01, 5.5593420114028174E+00, 1.5533958461281466E-01
031, 2.2100945181434621E+04, 7.0511735148911076E+06, 6.4404280075398591E-03, 1.7420043786805250E+00, 5.4463005936920865E+00, 8.3721710495148161E-01, 2.3101662836450814E+00
032, 2.2087473578509675E+04, 7.1383156311670616E+06, 1.5510661800150968E-02, 1.7236853831563850E+00, 2.3591664859976991E+00, 5.9022304190593484E+00, 5.8196021023314177E+00
033, 2.2089365771485533E+04, 7.1733325035796296E+06, 1.7588786078658327E-04, 1.7438626369040473E+00, 5.3942322768045923E+00, 2.6724698576601229E+00, 3.9194811262667328E+00
034, 2.1983510862905558E+04, 7.0779741771415481E+06, 1.4009942129800680E-02, 1.7215325437741333E+00, 1.1823804809187488E+00, 2.4169663867550462E+00, 3.3484602935716228E+00
035, 2.2190319956868829E+04, 7.1815335356525052E+06, 8.2694096670929921E-03, 1.6872536314195152E+00, 4.1953711487235674E+00, 4.7248177184707432E+00, 1.9828268904413309E+00
036, 2.2090616310520716E+04, 7.1266443595469426E+06, 1.8884742998232167E-02, 1.7320881079442307E+00, 4.6361372304766943E+00, 1.8936129053661557E+00, 1.9648682839730347E+00
037, 2.2009128889703745E+04, 7.0522455231495667E+06, 1.0226105517608826E-03, 1.7045167205637233E+00, 5.6055751997810201E+00, 3.6164072587258722E-01, 5.3431740930722107E+00
038, 2.1931689936687369E+04, 7.2156436338522844E+06, 7.6753809657671562E-03, 1.7188962371369039E+00, 7.3520127753738185E-01, 3.4025158235750408E+00, 4.7063363460850569E+00
039, 2.2073480116883646E+04, 7.2155867520766146E+06, 7.1447854891607595E-03, 1.7428349992255205E+00, 1.2067432088736836E+00, 1.1585490122341995E+00, 2.9091196055806097E+00
040, 2.2106597160092482E+04, 7.1155445662984997E+06, 3.4822798542468746E-03, 1.7177296660679058E+00, 3.3414080979386287E+00, 5.4941099459201643E+00, 5.5670277741425456E-01
041, 2.2181546561241721E+04, 7.0537312368787061E+06, 3.7862236257196992E-03, 1.7035488797357139E+00, 2.8474057854962371E+00, 3.6608319638678997E+00, 3.8182791770148365E+00
042, 2.2072358466858957E+04, 7.1600584675016981E+06, 5.8170487663027487E-03, 1.7222866047584235E+00, 2.4941440448754115E-01, 2.4964511089227650E+00, 5.8140788801379308E+00
043, 2.2072354706048889E+04, 7.0562341483805571E+06, 8.3186072168059365E-03, 1.7248401261454507E+00, 2.7727456320765680E+00, 5.4730275482522117E+00, 5.6640929684694878E+00
044, 2.2055219696911659E+04, 7.2285245139823500E+06, 1.6432740854238829E-03, 1.7425014513366612E+00, 5.7897048728397511E+00, 4.7090007348192708E+00, 6.2728250610625018E+00
045, 2.1970940786550811E+04, 7.1967875745517286E+06, 8.9620265989971380E-03, 1.7131061997439556E+00, 5.7168231729127674E+00, 9.9388397107801385E-01, 5.2860493835605329E+00
046, 2.2044226375825379E+04, 7.1728480968989916E+06, 7.9159186812811607E-04, 1.7332902080040073E+00, 5.8397411393420162E+00, 1.2834637264579531E+00, 5.6396537589788720E-01
047, 2.2116530205686773E+04, 7.1983810963819930E+06, 7.0110951916878305E-04, 1.7039179284859733E+00, 3.6556430044342076E+00, 3.5753756946842765E+00, 1.9953739732575226E-01
048, 2.2155193984658359E+04, 7.2260747106473614E+06, 3.2078681129155948E-03, 1.7040592632195255E+00, 3.9881908170829217E+00, 3.3815011786417442E+00, 3.5585393734014956E+00
049, 2.1919258898316097E+04, 7.1636298433968909E+06, 6.0022204845783956E-03, 1.6940426588185797E+00, 2.8896213047682268E-01, 1.0664187967062160E+00, 4.4035533535287996E+00
050, 2.2182664370105940E+04, 7.2298836862790585E+06, 2.9917620092200794E-03, 1.7134303650042442E+00, 5.6926197217389527E+00, 1.2233136774674289E+00, 4.1318990297592326E-02
051, 2.2044920207572985E+04, 7.2739820311951246E+06, 4.5501936582343245E-04, 1.6984418143865772E+00, 6.0695146770589146E+00, 2.5126745662421355E+00, 4.0860220181482437E-01
052, 2.2073359216226632E+04, 7.1840646567192953E+06, 1.2200894059330541E-02, 1.7032379552587862E+00, 4.3875259731814475E+00, 4.2857308477606502E+00, 2.2649606756697751E+00
053, 2.2205209609883474E+04, 7.1206047619816754E+06, 1.8748484639598464E-02, 1.7243522402183677E+00, 1.1940441927132608E+00, 6.0338292424834350E+00, 2.3180748141847425E+00
054, 2.2178806845173607E+04, 7.0827093171032118E+06, 5.4624296859097409E-03, 1.7260128697659984E+00, 7.6512910206348372E-01, 3.8751061612825590E+00, 4.1741915005385852E+00
055, 2.1919141218682595E+04, 7.1119544452803489E+06, 7.2193999746037766E-03, 1.7008450549301035E+00, 2.2287562039418822E+00, 3.0204626824881009E+00, 2.4608001081360684E-01
056, 2.2166542627464853E+04, 7.1328845283907494E+06, 1.5710587455467794E-02, 1.7218054617786223E+00, 1.3992166343807633E+00, 2.8127235385722593E+00, 2.1255691897846543E+00
057, 2.2178469846282238E+04, 7.1143762048009802E+06, 3.0421126849487285E-04, 1.6930494943764807E+00, 1.5193391565747167E+00, 1.5599742418151235E+00, 5.6825470758277430E-01
058, 2.2006332507567706E+04, 7.1056280441766176E+06, 1.1732939476348967E-02, 1.7262297965290676E+00, 3.1441764475246430E+00, 5.2611532849012335E+00, 2.5663829610793720E+00
059, 2.2163240281393657E+04, 7.2712467703733621E+06, 3.7621960354441167E-04, 1.7212799166847672E+00, 4.8395782921675762E-01, 2.2160044247743689E+00, 5.0772463754078387E+00
060, 2.2177320616762518E+04, 7.1716012040374856E+06, 2.1047874933081073E-04, 1.7275989015732440E+00, 1.1663700094786258E+00, 3.9608426165574842E+00, 5.2466952870077899E+00
061, 2.2017124740562955E+04, 7.0085967511928463E+06, 9.6657821225086700E-04, 1.7246480834680864E+00, 1.4474464886844627E+00, 1.3160281382469714E+00, 2.1844062662362118E+00
062, 2.2211036326393703E+04, 7.0819101487611402E+06, 1.4223022718280010E-02, 1.7181056414718701E+00, 4.1357457757784761E+00, 4.5125407881632258E+00, 4.7150846681953178E+00
063, 2.1948368543193159E+04, 7.0282159997846913E+06, 3.3813812507357444E-03, 1.7018642596525826E+00, 5.1547319645647347E+00, 6.0194532582543605E+00, 3.4102941141740866E+00
064, 2.2189004682927152E+04, 7.0891769168093726E+06, 1.1094715864674828E-02, 1.7011298552037972E+00, 5.2725641283662759E+00, 5.8736657019993128E+00, 2.6358901555757273E+00
065, 2.1985511836499572E+04, 7.1821031446048273E+06, 1.4540395437083150E-03, 1.7200544253523042E+00, 5.0991392141449134E+00, 6.2489941242111229E+00, 1.0770567821776937E+00
066, 2.2079395819412173E+04, 7.1687288234295696E+06, 8.1745810104903917E-03, 1.7118881025766945E+00, 2.2351058161744106E+00, 6.1633980114305968E+00, 1.2800966525662680E+00
067, 2.1997984183882658E+04, 7.1633269926687032E+06, 1.3373183859161334E-02, 1.7059777602540207E+00, 4.7252840425713183E-01, 3.2814162358718839E+00, 5.5138732706838125E+00
068, 2.2045994762104783E+04, 7.0867899522829605E+06, 5.3141553993309018E-03, 1.7355722160723295E+00, 4.9926834967080058E+00, 3.0247680333777667E+00, 2.1255078945244210E+00
069, 2.2045557194956789E+04, 7.0431946071981397E+06, 8.8599667139060648E-03, 1.7060479901576877E+00, 1.0007467177243383E+00, 1.6051909074038720E-01, 3.0469359063417198E+00
070, 2.2093406321657600E+04, 7.0480234701131647E+06, 9.3019444788688260E-03, 1.7105222032478846E+00, 5.7590824068411042E+00, 7.7546768833529622E-01, 5.3222221475105336E+00
071, 2.2184960029949372E+04, 6.9961042701278944E+06, 1.6195224821454204E-03, 1.7210822050247361E+00, 4.7763457420678730E+00, 2.7696818579916922E+00, 5.0531882245756576E-01
072, 2.2186506727661585E+04, 7.1586608796730023E+06, 8.8093103111976170E-03, 1.7049922072391817E+00, 5.2148345224712571E+00, 2.6463789090242815E+00, 3.6333322001306896E+00
073, 2.2176187952287721E+04, 7.0997443373522386E+06, 1.0022275901682637E-02, 1.7140108243844197E+00, 2.3039176302152424E+00, 4.8418211596697578E+00, 3.6025465702163886E+00
074, 2.2090756786585865E+04, 7.1365075652298192E+06, 1.9318060962718084E-02, 1.7624919151168126E+00, 3.8052584717681466E+00, 1.6532789006091402E+00, 3.0137669349616565E+00
075, 2.2020123357027613E+04, 7.0955686484739427E+06, 1.1772361985212523E-02, 1.7146347629642993E+00, 3.7361493756263959E+00, 2.7575974229800186E+00, 6.3578365412810645E-01
076, 2.2069039197899721E+04, 7.0440736948122876E+06, 3.8167773124460724E-03, 1.7269158049937028E+00, 3.2398209555803703E+00, 9.7847934284866156E-02, 5.1640747953863830E-01
077, 2.2137636871397644E+04, 7.1175384406800950E+06, 1.0915119339331225E-02, 1.7251715951096656E+00, 4.2823553590123149E+00, 6.9395098319210136E-01, 5.8438457313897221E+00
078, 2.2209547485415889E+04, 7.1109906600534106E+06, 3.8565218749051443E-03, 1.7178475070344257E+00, 3.2997546040568797E+00, 5.4804048988930809E+00, 3.6099256074234982E+00
079, 2.2009653278978960E+04, 7.0958242874252126E+06, 1.4582049263723295E-02, 1.7059189934667947E+00, 2.4165867791564595E+00, 5.0206313578910420E+00, 5.6361900556679290E+00
080, 2.1948912499956517E+04, 7.0914633510917975E+06, 9.6641139622932366E-03, 1.7123365971163147E+00, 1.3612865409546255E+00, 6.2796954716614914E+00, 8.4065067387618064E-01
081, 2.1993439972648222E+04, 7.1319174665910909E+06, 1.4624954360824376E-02, 1.7304222775526015E+00, 5.0832991374551106E+00, 4.2515961487354259E-01, 9.1457019973320197E-01
082, 2.2068730606255926E+04, 7.1667229436290581E+06, 7.2855383648181013E-03, 1.7118659052980396E+00, 8.0676295252394914E-01, 5.5780118411717980E+00, 4.2157304137638274E+00
083, 2.2186920695821791E+04, 7.0452730690178890E+06, 1.2055927176520007E-03, 1.7352783426273417E+00, 5.2287798382216417E+00, 3.6456990858463647E+00, 4.7946769138740226E+00
084, 2.2183126261371559E+04, 7.1688227550771963E+06, 8.7944941814681200E-03, 1.7319518833884155E+00, 1.4051043004545718E+00, 2.2048195488435027E+00, 3.3710490411276611E-01
085, 2.2199447334976554E+04, 7.2326969750298122E+06, 9.0471773767734020E-04, 1.7083959100774138E+00, 4.4715006952838880E+00, 4.3363978788567916E+00, 4.2947628179948794E+00
086, 2.2159200221347182E+04, 7.1640805910059214E+06, 4.8558076134916448E-03, 1.7429814532121297E+00, 4.6633765351924339E+00, 1.9933853377993427E+00, 4.2962177907899024E+00
087, 2.2012963799731206E+04, 7.1347437131959293E+06, 1.7972542171495187E-02, 1.6903589325124464E+00, 1.6118829302766163E-01, 1.5583972332967269E-01, 5.5820969403177347E+00
088, 2.2012679626211182E+04, 7.1480170031832065E+06, 1.6163769764606806E-02, 1.7206069452035428E+00, 3.4084613046222954E+00, 2.6428412096696001E+00, 7.3016285773200396E-01
089, 2.2142048184397634E+04, 7.2066042702119499E+06, 1.7080045147391503E-03, 1.7156196429772856E+00, 7.4320315571008078E-01, 4.3263792920130104E+00, 5.5010823424141959E+00
090, 2.2100853440830062E+04, 7.2364403247203296E+06, 4.7855129948774786E-03, 1.7181879133869626E+00, 2.3718533924912508E+00, 6.2527984950062487E+00, 4.4683225431172939E+00
091, 2.2096126117240376E+04, 7.1312035441568093E+06, 5.7492297626698403E-03, 1.7479532116032237E+00, 5.4432006530001686E+00, 2.7732881182542057E-01, 3.2398795672527632E+00
092, 2.2137840884012039E+04, 7.0728773408125304E+06, 1.7498203979812602E-03, 1.7005523181555344E+00, 3.3875792540865401E-01, 1.2800686160039740E+00, 6.0943937408199407E+00
093, 2.2196704127081510E+04, 7.1222265292224837E+06, 9.9379692949495557E-03, 1.7052791686055375E+00, 5.3604697012136198E+00, 2.4262837970310058E+00, 4.5959398681615040E+00
094, 2.2078773798168124E+04, 7.0985778576443586E+06, 6.4462931153876756E-03, 1.7323900027585808E+00, 3.3827778486909371E-01, 7.7479518928343549E-01, 4.4283860105720168E+00
095, 2.1921771578919277E+04, 7.2056114354656432E+06, 7.8716644870463932E-03, 1.7042082617249430E+00, 3.1061071695453046E+00, 1.9010241910924512E+00, 3.9181627643965085E+00
096, 2.1959443768936169E+04, 7.1017104353711102E+06, 2.8986025214346105E-03, 1.7311066739265173E+00, 3.0462850210516739E+00, 2.0478382195513030E+00, 2.2383482806859384E-01
097, 2.1977593507699592E+04, 7.0899475992780998E+06, 1.5993969373482495E-03, 1.7019626977660338E+00, 3.2988477592372596E+00, 5.5248613572498140E-01, 5.2378102292088009E+00
098, 2.2092567948492411E+04, 7.2588711307795681E+06, 2.5978142527248284E-03, 1.7201556992141955E+00, 5.6666218536714412E+00, 4.9445371149564412E+00, 4.3991351594269119E+00
099, 2.1998196132537287E+04, 7.1510842673991937E+06, 1.0309155791164525E-02, 1.7153443549008842E+00, 3.1952938240664239E+00, 2.4574958739073454E+00, 5.2868953408200241E+00
100, 2.2149374413090936E+04, 7.1652280903818859E+06, 1.3383384270878484E-02, 1.7216907588303647E+00, 5.5064988026377415E-01, 3.3987073688977572E+00, 4.9931133866366704E+00
101, 2.2165269690097237E+04, 7.0692867927575335E+06, 4.8051230560654402E-03, 1.7030360748582729E+00, 8.4963089183265772E-01, 4.0094993214479171E+00, 1.2869051723859843E+00
102, 2.2184404174064908E+04, 7.1146699073704677E+06, 7.6203646555481159E-03, 1.7639595215680164E+00, 1.3271059114527712E+00, 7.5010646132919467E-01, 3.7323443632963667E+00
103, 2.2211358428428794E+04, 7.1828228078946415E+06, 1.3121882178922047E-04, 1.7191575454172257E+00, 5.0171299539534369E+00, 6.1574933091140427E-01, 1.4514145023718026E+00
104, 2.2027282877856735E+04, 7.1378151205907669E+06, 4.3741423663386046E-03, 1.7099007602062939E+00, 5.9543052456394676E+00, 6.1226460102772826E+00, 5.1464486420502853E+00
105, 2.2013340779681730E+04, 7.1586530208477378E+06, 5.2483164242037930E-03, 1.7307732652215102E+00, 5.7883013204191061E+00, 4.3007246611212846E+00, 8.0482639773526155E-01
106, 2.2132901796983588E+04, 7.1021730836894019E+06, 1.2238235121960209E-02, 1.7353442812874009E+00, 9.0700698294148563E-01, 3.8248618034002688E+00, 2.6154307768775054E+00
107, 2.2042676361728983E+04, 7.0787447114419416E+06, 1.0926894137701443E-02, 1.7304588752794843E+00, 1.8419231628655386E+00, 1.0954462462362624E+00, 5.7563854337945364E-01
108, 2.1977382751816251E+04, 7.1543581531256661E+06, 1.3311866252980474E-02, 1.7153861200817262E+00, 3.8031578317423747E+00, 3.8294186733432753E+00, 2.7716788514284487E+00
109, 2.2179647978757417E+04, 7.0816056032247618E+06, 6.6848616695973266E-03, 1.6796369801682678E+00, 1.7976276953897439E+00, 1.7520617530039719E+00, 3.7155389266165089E+00
110, 2.2171542134845920E+04, 7.0399828272993378E+06, 8.0246151973830393E-03, 1.7066398849824660E+00, 3.3202457565355075E+00, 1.0260665319926889E+00, 5.0935780051250057E-01
111, 2.2097837292221255E+04, 7.1116691803758247E+06, 3.9945400674119324E-03, 1.7196257237148562E+00, 5.3370927429813353E-01, 4.0537404048670762E+00, 3.0359102114114513E+00
112, 2.1927288941126742E+04, 7.1279406944167428E+06, 6.2708096351464324E-03, 1.6964051527852968E+00, 2.5529766706451547E+00, 3.7582283745148315E+00, 4.9340755746347957E+00
113, 2.2006029422436750E+04, 7.1068472064248882E+06, 1.3967797404851538E-03, 1.7037453945063739E+00, 2.9207407561315852E+00, 3.6801831522152093E+00, 6.0019507085513690E-01
114, 2.2128601160391125E+04, 7.1120055866450276E+06, 1.3561981138585460E-02, 1.7263915979294957E+00, 1.5064075711549956E+00, 3.0218371469877107E-02, 4.0283762096609887E+00
115, 2.2203068052243107E+04, 7.1285734628544971E+06, 6.9382589158470344E-04, 1.7186620978213143E+00, 1.2537677159116398E+00, 7.1071385284506100E-02, 5.7715629253636758E+00
116, 2.2056732352276045E+04, 7.1534623433983997E+06, 1.2588526707125717E-02, 1.7198750003376257E+00, 2.2108528254934559E+00, 8.8446228901499913E-01, 3.2200450177407980E+00
117, 2.2187674306585417E+04, 7.0551211862821421E+06, 3.3429292710779337E-03, 1.7252913477749166E+00, 1.3424448800805884E+00, 5.5735697790101639E+00, 3.4790134980232836E+00
118, 2.2120680757028877E+04, 7.1436814967498723E+06, 5.2750640926571809E-03, 1.7051952832434334E+00, 5.1479055058387146E+00, 4.6657931150205995E-01, 3.8188656897403370E+00
119, 2.1985467231746807E+04, 7.1236066486014575E+06, 1.9671672048720040E-03, 1.7177855058331584E+00, 2.4658155016064462E+00, 5.7642962589185895E+00, 3.2999201272266392E+00
120, 2.2046861190029143E+04, 7.1378410281004757E+06, 6.7681479312739620E-03, 1.7392207510691602E+00, 4.5128692291610628E+00, 5.9714662996213246E+00, 2.1623307875177531E+00
121, 2.2047241592465343E+04, 7.0449162288662978E+06, 1.3994745303859671E-03, 1.7171004089978914E+00, 2.1737679601795284E-01, 4.8827391731757253E+00, 2.8327649313298746E+00
122, 2.1997682969749330E+04, 7.1565544201999474E+06, 8.8214761474042051E-03, 1.7059858422924437E+00, 4.6259954675669990E-01, 9.6977896913311734E-01, 4.9318283510214940E+00
